playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
scottta01,2020,1,BAL,AL,0,0,25,0,0,0,1,62,12,3,1.0,10,23,0.164,1.31,0.0,4.0,3.0,0.0,86.0,6.0,5,0.0,0.0,2.0
scottta01,2021,1,BAL,AL,5,4,62,0,0,0,0,162,48,31,6.0,37,70,0.234,5.17,1.0,10.0,6.0,0.0,251.0,12.0,34,0.0,3.0,4.0
scottta01,2022,1,MIA,NL,4,5,67,0,0,0,20,188,55,30,5.0,46,90,0.236,4.31,1.0,3.0,4.0,0.0,289.0,35.0,34,0.0,6.0,4.0
scottta01,2023,1,MIA,NL,9,5,74,0,0,0,12,234,53,20,3.0,24,104,0.191,2.31,3.0,1.0,4.0,0.0,307.0,26.0,22,0.0,2.0,10.0
scottta01,2024,1,MIA,NL,6,5,44,0,0,0,18,137,19,6,2.0,27,53,0.127,1.18,2.0,0.0,1.0,0.0,182.0,35.0,10,4.0,0.0,3.0
scottta01,2024,2,SDN,NL,3,1,28,0,0,0,4,79,26,8,1.0,9,31,0.252,2.73,2.0,0.0,0.0,0.0,112.0,6.0,10,0.0,0.0,2.0
scottta01,2025,1,LAN,NL,1,4,61,0,0,0,23,171,54,30,11.0,18,60,0.254,4.74,2.0,2.0,4.0,0.0,238.0,33.0,33,1.0,2.0,6.0
scottta02,2022,1,SDN,NL,0,1,8,0,0,0,0,36,19,9,1.0,6,13,0.358,6.75,0.0,0.0,0.0,0.0,59.0,2.0,10,0.0,0.0,3.0
scottta02,2023,1,LAN,NL,0,0,6,0,0,0,0,18,6,6,0.0,4,8,0.25,9.0,2.0,0.0,1.0,0.0,30.0,1.0,6,0.0,1.0,0.0
scottta02,2023,2,BOS,AL,0,0,4,1,0,0,0,11,6,2,1.0,4,2,0.4,4.91,0.0,1.0,1.0,0.0,20.0,1.0,3,0.0,0.0,1.0
scottta02,2023,3,OAK,AL,0,0,8,1,0,0,0,24,11,3,2.0,2,7,0.314,3.38,0.0,0.0,1.0,0.0,38.0,1.0,3,0.0,0.0,0.0
scottta02,2024,1,HOU,AL,7,3,62,1,0,0,0,206,45,17,7.0,35,71,0.188,2.23,1.0,0.0,4.0,0.0,282.0,11.0,21,0.0,3.0,1.0
scottta02,2025,1,HOU,AL,1,2,18,0,0,0,0,55,21,15,3.0,14,17,0.296,7.36,0.0,0.0,1.0,0.0,90.0,1.0,16,2.0,2.0,0.0
scottta02,2025,2,ARI,NL,0,0,6,0,0,0,0,27,13,9,3.0,4,7,0.325,9.0,0.0,0.0,0.0,0.0,44.0,3.0,9,0.0,0.0,0.0
scruban01,2020,1,HOU,AL,1,0,20,0,0,0,1,71,15,5,1.0,20,24,0.19,1.9,1.0,1.0,0.0,0.0,102.0,4.0,5,1.0,2.0,2.0
scruban01,2021,1,HOU,AL,1,1,18,0,0,0,0,59,15,11,5.0,14,21,0.214,5.03,0.0,2.0,0.0,0.0,86.0,5.0,11,0.0,2.0,1.0
seaboco01,2021,1,BOS,AL,0,0,1,1,0,0,0,9,3,2,1.0,2,0,0.3,6.0,0.0,0.0,0.0,0.0,12.0,0.0,2,0.0,0.0,2.0
seaboco01,2022,1,BOS,AL,0,4,5,5,0,0,0,55,35,23,5.0,8,19,0.402,11.29,0.0,4.0,3.0,0.0,98.0,0.0,24,0.0,0.0,1.0
seaboco01,2023,1,COL,NL,1,7,27,13,0,0,0,262,116,73,19.0,28,67,0.317,7.52,1.0,5.0,7.0,0.0,408.0,7.0,76,2.0,5.0,5.0
seaboco01,2025,1,TBA,AL,0,0,3,0,0,0,0,20,7,1,0.0,3,5,0.28,1.35,0.0,0.0,0.0,0.0,29.0,3.0,1,0.0,1.0,0.0
seaboco01,2025,2,ATL,NL,0,0,4,0,0,0,0,11,5,4,1.0,3,5,0.313,9.82,0.0,1.0,0.0,0.0,19.0,2.0,4,0.0,0.0,0.0
searsjp01,2022,1,NYA,AL,3,0,7,2,0,0,0,66,14,5,1.0,5,15,0.184,2.05,0.0,0.0,1.0,0.0,83.0,1.0,5,0.0,1.0,1.0
searsjp01,2022,2,OAK,AL,3,3,10,9,0,0,0,144,53,25,7.0,18,36,0.285,4.69,1.0,0.0,1.0,0.0,205.0,0.0,26,0.0,0.0,8.0
searsjp01,2023,1,OAK,AL,5,14,32,32,0,0,0,517,165,87,34.0,53,161,0.249,4.54,2.0,2.0,16.0,0.0,735.0,0.0,90,1.0,3.0,9.0
searsjp01,2024,1,OAK,AL,11,13,32,32,0,0,0,542,172,88,28.0,49,137,0.251,4.38,0.0,0.0,14.0,1.0,758.0,0.0,93,2.0,7.0,15.0
searsjp01,2025,1,ATH,AL,7,9,22,22,0,0,0,333,112,61,23.0,29,97,0.258,4.95,0.0,1.0,5.0,0.0,472.0,0.0,63,1.0,3.0,6.0
searsjp01,2025,2,SDN,NL,2,2,5,5,0,0,0,74,31,15,7.0,7,20,0.31,5.47,0.0,0.0,1.0,0.0,111.0,0.0,16,2.0,1.0,2.0
sedloco01,2022,1,BAL,AL,0,0,1,0,0,0,0,9,6,5,0.0,1,3,0.4,15.0,0.0,0.0,0.0,0.0,16.0,0.0,5,0.0,0.0,0.0
seiglan01,2025,1,MIL,NL,0,0,1,0,0,0,0,3,1,0,0.0,0,0,0.25,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0,0.0,0.0,0.0
selbyco01,2023,1,PIT,NL,2,2,21,5,0,0,0,72,29,24,4.0,15,30,0.296,9.0,1.0,3.0,0.0,0.0,114.0,3.0,24,1.0,0.0,2.0
selbyco01,2024,1,KCA,AL,0,0,2,0,0,0,0,9,2,2,0.0,2,0,0.182,6.0,0.0,1.0,0.0,0.0,13.0,1.0,3,0.0,0.0,0.0
selbyco01,2024,2,BAL,AL,0,0,3,0,0,0,0,12,1,0,0.0,2,5,0.083,0.0,0.0,0.0,1.0,0.0,15.0,1.0,0,0.0,0.0,1.0
selbyco01,2025,1,BAL,AL,0,2,11,0,0,0,0,42,16,5,2.0,2,14,0.276,3.21,0.0,0.0,0.0,0.0,60.0,5.0,5,0.0,0.0,0.0
selmasa01,2020,1,SFN,NL,1,1,24,0,0,0,1,58,13,8,2.0,9,23,0.186,3.72,0.0,2.0,2.0,0.0,82.0,8.0,8,1.0,0.0,1.0
selmasa01,2021,1,SFN,NL,0,0,7,0,0,0,0,24,4,4,2.0,4,8,0.143,4.5,0.0,0.0,1.0,0.0,33.0,2.0,4,0.0,0.0,0.0
selmasa01,2021,2,LAA,AL,0,1,18,0,0,0,0,51,16,12,1.0,8,11,0.258,6.35,1.0,0.0,4.0,0.0,77.0,7.0,13,0.0,3.0,1.0
selmasa01,2022,1,OAK,AL,0,0,16,0,0,0,0,55,16,10,4.0,5,18,0.232,4.91,0.0,0.0,1.0,0.0,75.0,7.0,10,0.0,0.0,1.0
sengako01,2023,1,NYN,NL,12,7,29,29,0,0,0,499,126,55,17.0,77,202,0.208,2.98,0.0,14.0,5.0,1.0,694.0,0.0,60,1.0,4.0,13.0
sengako01,2024,1,NYN,NL,1,0,1,1,0,0,0,16,2,2,1.0,1,9,0.111,3.38,0.0,0.0,1.0,0.0,20.0,0.0,2,0.0,0.0,0.0
sengako01,2025,1,NYN,NL,7,6,22,22,0,0,0,340,94,38,12.0,55,109,0.223,3.02,0.0,5.0,3.0,0.0,482.0,0.0,44,0.0,2.0,11.0
senzaan01,2020,1,COL,NL,5,3,12,12,1,0,0,220,71,28,9.0,18,41,0.254,3.44,0.0,0.0,4.0,0.0,303.0,0.0,29,0.0,2.0,9.0
senzaan01,2021,1,COL,NL,4,10,28,28,0,0,0,470,178,77,12.0,32,105,0.287,4.42,1.0,4.0,9.0,2.0,670.0,0.0,84,3.0,6.0,19.0
senzaan01,2022,1,COL,NL,3,7,19,19,0,0,0,277,133,52,9.0,23,54,0.349,5.07,0.0,1.0,3.0,0.0,413.0,0.0,56,3.0,3.0,17.0
senzaan01,2023,1,COL,NL,0,1,2,2,0,0,0,23,7,4,3.0,2,4,0.25,4.7,0.0,0.0,0.0,0.0,30.0,0.0,4,0.0,0.0,0.0
senzaan01,2024,1,COL,NL,0,1,3,3,0,0,0,37,15,9,3.0,8,7,0.326,6.57,0.0,0.0,0.0,1.0,54.0,0.0,10,0.0,0.0,3.0
senzaan01,2025,1,COL,NL,4,15,30,23,0,0,0,390,192,96,22.0,47,73,0.346,6.65,2.0,9.0,8.0,1.0,618.0,0.0,103,3.0,5.0,17.0
servebr01,2022,1,COL,NL,0,0,1,0,0,0,0,3,0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0,0.0,0.0,1.0
severan01,2022,1,CHA,AL,0,0,6,0,0,0,0,22,7,5,0.0,4,9,0.25,6.14,0.0,2.0,2.0,0.0,34.0,4.0,5,0.0,0.0,1.0
severlu01,2021,1,NYA,AL,1,0,4,0,0,0,0,18,2,0,0.0,1,8,0.1,0.0,0.0,0.0,1.0,0.0,22.0,1.0,0,0.0,0.0,0.0
severlu01,2022,1,NYA,AL,7,3,19,19,0,0,0,306,72,36,14.0,30,112,0.196,3.18,0.0,1.0,4.0,0.0,405.0,0.0,37,2.0,1.0,5.0
severlu01,2023,1,NYA,AL,4,8,19,18,0,0,0,268,113,66,23.0,34,79,0.301,6.65,1.0,1.0,5.0,3.0,417.0,0.0,73,1.0,1.0,3.0
severlu01,2024,1,NYN,NL,11,7,31,31,1,1,0,546,166,79,23.0,60,161,0.242,3.91,0.0,6.0,11.0,2.0,761.0,0.0,86,3.0,1.0,15.0
severlu01,2025,1,ATH,AL,8,11,29,29,0,0,0,488,162,82,16.0,50,124,0.257,4.54,1.0,3.0,16.0,0.0,705.0,0.0,93,2.0,7.0,9.0
sewalpa01,2020,1,NYN,NL,0,0,5,0,0,0,0,18,12,9,1.0,4,2,0.414,13.5,0.0,0.0,1.0,0.0,35.0,1.0,9,0.0,1.0,0.0
sewalpa01,2021,1,SEA,AL,10,3,62,0,0,0,11,194,42,22,10.0,24,104,0.176,3.06,5.0,2.0,0.0,0.0,264.0,18.0,24,0.0,0.0,0.0
sewalpa01,2022,1,SEA,AL,5,4,65,0,0,0,20,192,32,19,10.0,17,72,0.146,2.67,4.0,1.0,4.0,0.0,242.0,37.0,21,1.0,1.0,0.0
sewalpa01,2023,1,SEA,AL,3,1,45,0,0,0,21,129,30,14,5.0,14,60,0.196,2.93,1.0,1.0,0.0,0.0,169.0,31.0,15,1.0,1.0,3.0
sewalpa01,2023,2,ARI,NL,0,1,20,0,0,0,13,53,16,7,3.0,10,20,0.235,3.57,0.0,0.0,1.0,0.0,80.0,16.0,8,1.0,0.0,0.0
sewalpa01,2024,1,ARI,NL,1,2,42,0,0,0,16,119,35,19,6.0,10,43,0.232,4.31,1.0,0.0,3.0,0.0,165.0,34.0,19,0.0,1.0,1.0
sewalpa01,2025,1,CLE,AL,1,1,18,0,0,0,2,46,14,8,3.0,4,18,0.246,4.7,0.0,0.0,0.0,0.0,62.0,3.0,9,0.0,1.0,0.0
sewalpa01,2025,2,DET,AL,0,0,4,0,0,0,0,13,4,2,1.0,2,2,0.25,4.15,0.0,0.0,0.0,0.0,19.0,2.0,2,0.0,1.0,0.0
seymoca01,2025,1,SFN,NL,1,3,16,3,0,0,0,108,37,19,9.0,13,26,0.262,4.75,0.0,0.0,1.0,0.0,156.0,7.0,21,1.0,0.0,4.0
seymoia01,2025,1,TBA,AL,4,3,19,5,0,0,0,171,48,23,5.0,19,64,0.221,3.63,1.0,0.0,3.0,0.0,242.0,7.0,33,1.0,2.0,4.0
shafeju01,2020,1,MIA,NL,0,0,5,0,0,0,0,17,8,8,2.0,4,5,0.333,12.71,0.0,0.0,1.0,0.0,30.0,0.0,8,0.0,1.0,0.0
sharpst01,2020,1,MIA,NL,0,0,4,0,0,0,0,16,7,6,1.0,5,3,0.304,10.13,0.0,0.0,1.0,0.0,29.0,0.0,7,0.0,0.0,1.0
