playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,WAR
leeko01,2023,1,CHA,AL,24,65,4,5,1,0,1,3.0,0.0,0.0,5,20.0,0.0,0.0,0.0,0.0,0.0,-0.6
leeko01,2024,1,CHA,AL,125,377,36,79,14,1,12,37.0,6.0,3.0,17,122.0,0.0,0.0,0.0,0.0,12.0,0.0
leeko01,2025,1,CHA,AL,26,35,10,9,3,0,1,3.0,0.0,0.0,4,7.0,0.0,0.0,1.0,0.0,1.0,0.3
leiteja01,2025,1,TEX,AL,30,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lemahdj01,2020,1,NYA,AL,50,195,41,71,10,2,10,27.0,3.0,0.0,18,21.0,0.0,2.0,0.0,1.0,3.0,3.0
lemahdj01,2021,1,NYA,AL,150,597,84,160,24,1,10,57.0,4.0,2.0,73,94.0,2.0,4.0,0.0,5.0,16.0,1.6
lemahdj01,2022,1,NYA,AL,125,467,74,122,18,0,12,46.0,4.0,3.0,67,71.0,0.0,4.0,1.0,2.0,12.0,3.6
lemahdj01,2023,1,NYA,AL,136,497,55,121,22,3,15,44.0,2.0,2.0,60,125.0,2.0,3.0,0.0,2.0,14.0,1.3
lemahdj01,2024,1,NYA,AL,67,201,19,41,5,0,2,26.0,0.0,1.0,19,35.0,0.0,1.0,1.0,6.0,13.0,-1.5
lemahdj01,2025,1,NYA,AL,45,128,13,34,3,0,2,12.0,0.0,0.0,14,35.0,0.0,0.0,0.0,0.0,4.0,0.6
leonpe01,2024,1,HOU,AL,7,20,2,2,0,0,0,0.0,2.0,0.0,1,10.0,0.0,0.0,0.0,0.0,2.0,-0.3
leonsa01,2020,1,CLE,AL,25,66,4,9,1,0,2,4.0,0.0,0.0,14,21.0,0.0,1.0,0.0,0.0,2.0,-0.1
leonsa01,2021,1,MIA,NL,84,202,15,37,5,0,4,14.0,0.0,0.0,12,65.0,0.0,3.0,1.0,2.0,2.0,-0.8
leonsa01,2022,1,CLE,AL,9,15,0,2,0,0,0,0.0,0.0,0.0,6,4.0,0.0,0.0,0.0,0.0,1.0,-0.2
leonsa01,2022,2,MIN,AL,25,56,6,10,3,0,0,4.0,0.0,0.0,7,23.0,0.0,0.0,2.0,0.0,1.0,-0.4
leonsa01,2023,1,TEX,AL,22,41,4,6,2,0,0,4.0,0.0,0.0,1,20.0,0.0,1.0,1.0,0.0,2.0,-0.5
leonsa01,2025,1,ATL,NL,5,12,1,1,0,0,1,3.0,0.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,-0.1
lestejo01,2021,1,WAS,NL,18,28,3,5,0,0,1,3.0,0.0,0.0,0,13.0,0.0,0.0,1.0,0.0,0.0,0.1
lestejo01,2021,2,SLN,NL,12,20,0,3,2,0,0,0.0,0.0,0.0,2,11.0,0.0,0.0,0.0,0.0,0.0,0.1
lestejo02,2022,1,DET,AL,2,5,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,-0.1
lestejo02,2023,1,BAL,AL,11,22,0,4,0,0,0,4.0,0.0,0.0,1,7.0,0.0,0.0,0.0,0.0,1.0,-0.2
lewisky01,2020,1,SEA,AL,58,206,37,54,3,0,11,28.0,5.0,1.0,34,71.0,0.0,0.0,0.0,2.0,5.0,1.6
lewisky01,2021,1,SEA,AL,36,130,15,32,4,0,5,11.0,2.0,0.0,16,37.0,0.0,1.0,0.0,0.0,1.0,0.4
lewisky01,2022,1,SEA,AL,18,56,6,8,0,0,3,5.0,0.0,0.0,5,19.0,0.0,1.0,0.0,0.0,2.0,-0.1
lewisky01,2023,1,ARI,NL,16,51,2,8,2,0,1,2.0,0.0,0.0,3,21.0,0.0,0.0,0.0,0.0,0.0,-0.6
lewisro02,2022,1,MIN,AL,12,40,5,12,4,0,2,5.0,0.0,0.0,1,5.0,0.0,0.0,0.0,0.0,2.0,0.3
lewisro02,2023,1,MIN,AL,58,217,36,67,7,0,15,52.0,6.0,1.0,20,55.0,0.0,2.0,0.0,0.0,5.0,2.4
lewisro02,2024,1,MIN,AL,82,292,40,68,16,0,16,47.0,0.0,0.0,28,74.0,2.0,0.0,0.0,5.0,5.0,0.7
lewisro02,2025,1,MIN,AL,106,376,36,89,18,0,13,52.0,12.0,2.0,25,80.0,0.0,0.0,0.0,2.0,7.0,0.6
leybado01,2021,1,ARI,NL,13,22,0,0,0,0,0,0.0,0.0,0.0,2,7.0,0.0,0.0,0.0,0.0,1.0,-0.5
leybado01,2021,2,BAL,AL,21,65,6,10,1,0,1,4.0,0.0,0.0,6,16.0,0.0,1.0,0.0,0.0,3.0,-0.7
liberlu01,2022,1,SDN,NL,7,5,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,-0.2
lileda01,2025,1,WAS,NL,91,321,51,96,15,11,9,41.0,8.0,6.0,21,56.0,0.0,4.0,1.0,3.0,5.0,0.8
lindbjo01,2021,1,MIL,NL,8,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lindofr01,2020,1,CLE,AL,60,236,30,61,13,0,8,27.0,6.0,2.0,24,41.0,2.0,4.0,0.0,2.0,8.0,1.3
lindofr01,2021,1,NYN,NL,125,452,73,104,16,3,20,63.0,10.0,4.0,58,96.0,4.0,5.0,6.0,3.0,7.0,3.0
lindofr01,2022,1,NYN,NL,161,630,98,170,25,5,26,107.0,16.0,6.0,59,133.0,2.0,10.0,0.0,7.0,11.0,5.4
lindofr01,2023,1,NYN,NL,160,602,108,153,33,2,31,98.0,31.0,4.0,66,137.0,1.0,12.0,0.0,7.0,8.0,6.1
lindofr01,2024,1,NYN,NL,152,618,107,169,39,1,33,91.0,29.0,4.0,56,127.0,0.0,12.0,0.0,3.0,7.0,6.8
lindofr01,2025,1,NYN,NL,160,644,117,172,35,0,31,86.0,31.0,6.0,65,131.0,2.0,16.0,0.0,7.0,9.0,5.9
lintz01,2020,1,BOS,AL,26,52,2,8,1,0,0,3.0,0.0,0.0,2,17.0,0.0,0.0,2.0,1.0,1.0,-0.5
lipcian01,2023,1,DET,AL,13,35,3,10,1,0,1,4.0,0.0,0.0,3,8.0,0.0,0.0,0.0,0.0,1.0,-0.1
lipsctr01,2024,1,WAS,NL,61,190,20,38,3,0,1,10.0,11.0,2.0,16,40.0,0.0,2.0,1.0,1.0,7.0,-0.2
lipsctr01,2025,1,WAS,NL,3,4,1,2,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.1
litteza01,2021,1,SFN,NL,63,4,0,1,0,0,0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
lobatjo01,2021,1,CHN,NL,6,11,1,0,0,0,0,0.0,0.0,0.0,2,5.0,0.0,0.0,0.0,0.0,0.0,-0.3
locasti01,2020,1,ARI,NL,33,69,15,20,4,1,2,7.0,4.0,0.0,8,14.0,0.0,4.0,1.0,0.0,0.0,0.7
locasti01,2021,1,ARI,NL,55,118,11,21,2,0,1,5.0,5.0,3.0,6,26.0,0.0,9.0,0.0,0.0,2.0,-0.7
locasti01,2021,2,NYA,AL,9,21,4,4,2,0,1,2.0,0.0,0.0,1,7.0,0.0,0.0,0.0,1.0,0.0,0.0
locasti01,2022,1,NYA,AL,38,43,13,8,1,0,2,4.0,8.0,2.0,2,7.0,0.0,1.0,0.0,0.0,0.0,-0.3
locasti01,2023,1,NYN,NL,43,56,13,13,3,0,2,3.0,6.0,0.0,3,22.0,0.0,6.0,2.0,0.0,0.0,0.4
locklty01,2024,1,SEA,AL,16,45,3,7,1,0,2,3.0,1.0,0.0,3,20.0,0.0,1.0,0.0,0.0,3.0,-0.3
locklty01,2025,1,ARI,NL,31,103,11,18,0,0,3,6.0,3.0,1.0,10,43.0,0.0,3.0,0.0,0.0,3.0,-1.1
lockrbr01,2024,1,SDN,NL,12,12,4,2,0,0,1,1.0,2.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
lockrbr01,2025,1,SDN,NL,47,88,9,19,4,0,0,5.0,8.0,1.0,4,24.0,0.0,1.0,2.0,0.0,2.0,-0.2
lockrbr01,2025,2,MIL,NL,20,46,8,12,3,1,0,6.0,2.0,0.0,4,12.0,0.0,0.0,1.0,2.0,0.0,0.4
loftini01,2023,1,KCA,AL,19,62,10,20,5,1,0,10.0,2.0,0.0,4,12.0,0.0,1.0,0.0,1.0,0.0,0.6
loftini01,2024,1,KCA,AL,57,148,15,28,4,0,1,14.0,1.0,0.0,19,24.0,0.0,1.0,1.0,2.0,4.0,0.2
loftini01,2025,1,KCA,AL,67,168,17,35,9,2,4,20.0,1.0,1.0,14,27.0,0.0,3.0,1.0,2.0,7.0,-0.4
longoev01,2020,1,SFN,NL,53,193,26,49,10,1,7,28.0,0.0,1.0,11,39.0,0.0,2.0,0.0,3.0,10.0,0.6
longoev01,2021,1,SFN,NL,81,253,45,66,17,0,13,46.0,1.0,1.0,35,68.0,4.0,1.0,0.0,2.0,9.0,1.7
longoev01,2022,1,SFN,NL,89,266,31,65,13,0,14,42.0,0.0,0.0,27,83.0,2.0,2.0,0.0,3.0,6.0,0.7
longoev01,2023,1,ARI,NL,74,211,25,47,9,0,11,28.0,0.0,0.0,23,73.0,0.0,0.0,0.0,3.0,8.0,0.4
longsa01,2021,1,SFN,NL,12,10,0,1,0,0,0,0.0,0.0,0.0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
longsh01,2020,1,SEA,AL,34,117,10,20,5,0,3,9.0,4.0,0.0,11,37.0,0.0,0.0,0.0,0.0,1.0,-0.1
longsh01,2021,1,SEA,AL,34,111,13,22,4,1,4,17.0,1.0,0.0,9,39.0,0.0,0.0,1.0,0.0,3.0,-0.3
loperjo01,2024,1,HOU,AL,38,106,11,25,5,1,2,16.0,2.0,1.0,7,43.0,0.0,3.0,1.0,1.0,1.0,0.3
loperjo01,2024,2,TOR,AL,43,137,13,27,8,3,2,9.0,2.0,1.0,6,52.0,0.0,1.0,0.0,0.0,2.0,0.2
loperjo01,2025,1,TOR,AL,41,96,12,32,4,0,4,14.0,1.0,2.0,4,27.0,0.0,3.0,1.0,0.0,2.0,0.6
lopesch01,2022,1,OAK,AL,4,9,0,0,0,0,0,0.0,0.0,0.0,1,5.0,0.0,0.0,0.0,0.0,0.0,-0.2
